emoji,meaning
😄,A_smiley1
😃,A_smiley2
😀,A_smiley3
😊,A_smiley4
☺️,A_blush
😉,A_wink
😍,A_loveeyes
😘,A_kiss1 
😚,A_kiss2
😗,A_kiss3
😙,A_kiss4
😜,A_tongue1
😝,A_tongue2
😛,A_tongue3
😳,A_embarassed
😁,A_cheese
😔,A_sad1
😌,A_sad2
😒,A_sad3
😞,A_sad4
😣,A_sad5
😢,A_sad6
😂,A_sad7
😭,A_sad8
😪,A_sad9
😥,A_sad10
😰,A_sad11
😅,A_sad12
😓,A_sad13
😩,A_sad14
😫,A_sad15
😨,A_worry1
😱,A_worry2
😠,A_angry1
😡,A_angry2
😤,A_angry3
😖,A_wince
😆,A_laugh
😋,A_licklips
😷,A_respirator
😎,A_sunglasses
😴,A_Zzz
😵,A_dead1
😲,A_dead2
😟,A_worry1
😦,A_worry2
😧,A_worry3
😈,A_devil1
👿,A_devil2
😮,A_oh
😬,A_cheese2
😐,A_straight
😕,A_worry4
😯,A_oh2
😶,A_nomouth
😇,A_angel
😏,A_smirk
😑,A_straight2
👲,B_gua
👲🏻,B_gua1
👲🏼,B_gua2
👲🏽,B_gua3
👲🏾,B_gua4
👲🏿,B_gua5
👳,B_turbin
👳🏻,B_turbin1
👳🏼,B_turbin2
👳🏽,B_turbin3
👳🏾,B_turbin4
👳🏿,B_turbin5
👮,B_police
👮🏻,B_police1
👮🏼,B_police2
👮🏽,B_police3
👮🏾,B_police4
👮🏿,B_police5
👷,B_safety
👷🏻,B_safety1
👷🏼,B_safety2
👷🏽,B_safety3
👷🏾,B_safety4
👷🏿,B_safety5
💂,B_russian
💂🏻,B_russian1
💂🏼,B_russian2
💂🏽,B_russian3
💂🏾,B_russian4
💂🏿,B_russian5
👶,B_baby
👶🏻,B_baby1
👶🏼,B_baby2
👶🏽,B_baby3
👶🏾,B_baby4
👶🏿,B_baby5
👦,B_boy
👦🏻,B_boy1
👦🏼,B_boy2
👦🏽,B_boy3
👦🏾,B_boy4
👦🏿,B_boy5
👧,B_girl
👧🏻,B_girl1
👧🏼,B_girl2
👧🏽,B_girl3
👧🏾,B_girl4
👧🏿,B_girl5
👨,B_man
👨🏻,B_man1
👨🏼,B_man2
👨🏽,B_man3
👨🏾,B_man4
👨🏿,B_man5
👩,B_woman
👩🏻,B_woman1
👩🏼,B_woman2
👩🏽,B_woman3
👩🏾,B_woman4
👩🏿,B_woman5
👴,B_grandpa
👴🏻,B_grandpa1
👴🏼,B_grandpa2
